Cue_renamed,Cue,Tax.match,Theme.match,tax.frequency,theme.frequency
teacup,teacup,glass,kettle,3,0
airplane1,airplane,ship,pilot,34,186
sailor,sailor,pilot,ship,13,123
airplane2,airplane,helicopter,sky,80,94
seagull,seagull,bat,sky,0,6
apple1,apple,strawberry,tree,39,1036
apple2,apple,orange,basket,286,20
axe,axe,scissors,stump,1,10
baby,baby,adult,bottle,241,457
monkey,monkey,donkey,jungle,18,44
bed,bed,couch,pillow,509,571
crib,crib,bed,baby,171,490
bee1,bee,ladybug,garden,1,35
bee2,bee,butterfly,honey,83,582
beer,beer,juice,party,115,341
chicken,chicken,swan,egg,3,888
pigeon,pigeon,duck,nest,15,3
cake,cake,cookie,birthday,99,1535
ball,ball,dice,child,3,181
boot,boot,slipper,foot,8,306
legs,legs,arms,pants,5320,360
bowl,bowl,plate,soup,264,858
bread,bread,rice,oven,421,481
spoon2,spoon,fork,sugar,251,178
hair,hair,beard,comb,1090,951
bullet,bullet,arrow,gun,22,552
cactus,cactus,bush,sand,9,23
car2,car,bicycle,tire,230,525
car1,car,motorcycle,traffic lights,238,20
carrot,carrot,peas,rabbit,26,33
dog1,dog,cat,leash,1900,591
dog2,dog,cat,bone,1900,398
chain,chain,rope,lock,59,137
chair,chair,stool,desk,82,1629
chalk,chalk,marker,blackboard,10,103
chimney,chimney,wall,fire,47,106
coat,coat,sweatshirt,umbrella,18,69
dress,dress,pants,hanger,409,37
jacket,jacket,sweater,winter,268,129
coconut,coconut,mango,tree,68,109
onion1,onion,tomato,farmer,433,11
farmer,farmer,butcher,tractor,9,50
goat,goat,deer,field,19,28
cow2,cow,chicken,grass,86,101
squirrel,squirrel,mouse,acorn,22,20
cow1,cow,pig,milk,145,1141
sheep,sheep,goat,wool,224,323
grass,grass,leaf,horse,80,94
crayon,crayon,paintbrush,drawing,1,66
crown,crown,hat,queen,102,226
cup,cup,saucer,coffee,289,8536
teacher,teacher,policeman,desk,22,264
door,door,window,key,2413,1715
house,house,hut,garden,63,1885
piano,piano,flute,song,69,249
trumpet,trumpet,violin,orchestra,50,25
frog,frog,turtle,pond,25,98
lilypad,lilypad,rose,pond,0,0
dust,dust,ash,broom,142,63
elephant,elephant,giraffe,zoo,47,93
ring,ring,necklace,hand,174,992
hand,hand,foot,bracelet,1297,71
pencil,pencil,pen,eraser,304,179
pen,pen,pencil,paper,304,1465
net,net,rope,fish,37,367
lake,lake,stream,fish,229,898
ocean2,ocean,stream,boat,89,280
flower,flower,bush,vase,33,95
can,can,bottle,straw,175,19
hammer,hammer,saw,nail,147,283
hat,hat,crown,head,102,1391
helmet,helmet,cap,motorcycle,48,208
soccer,soccer,tennis,goal,298,147
horse,horse,donkey,saddle,97,444
school,school,church,student,2249,11386
snow,snow,ice,mountain,2221,662
kitchen,kitchen,bedroom,refrigerator,780,395
knight,knight,soldier,armor,16,381
lamp,lamp,flashlight,desk,16,385
gloves,gloves,shorts,ski,29,79
mountain,mountain,cliff,snow,94,661
mouth,mouth,nose,toothbrush,1937,55
movie,movie,cartoon,director,126,1308
notepad,notepad,book,backpack,13,3
ocean1,ocean,river,whale,387,115
onion2,onion,peppers,frying pan,306,42
oyster,oyster,clam,pearl,38,79
watering can,watering can,bucket,flowers,0,5
pastry,pastry,cake,baker,92,19
penguin,penguin,goose,snow,0,11
policeman,policeman,teacher,jail,22,17
mailman,mailman,firefighter,package,0,13
pot1,pot,pan,ladle,167,37
pot2,pot,pan,stove,167,438
saw,saw,hammer,plank,147,15
sink,sink,bathtub,soap,78,102
spider,spider,grasshopper,web,6,786
spoon1,spoon,ladle,bowl,45,712
sword,sword,dagger,pirate,76,34
tent,tent,cabin,campfire,74,21
towel,towel,handkerchief,shower,3,165
train,train,bus,tracks,863,1213
university,university,school,professor,17898,28433
doctor,doctor,engineer,hospital,117,1802
peach,peach,plum,pit,84,263