Cue_renamed,Cue,Tax.match,Theme.match,tax.frequency,theme.frequency,Tax.cosine_dist,Theme.cosine_dist,Tax.cosine_sim,Theme.cosine_sim
teacup,茶杯,玻璃杯,水壶,13,14,0.3935309052467350,0.6038321256637570,0.6064690947532650,0.3961678743362430
airplane1,飞机,轮船,飞行员,117,528,0.39920681715011600,0.3935464024543760,0.600793182849884,0.6064535975456240
sailor,水手,飞行员,轮船,0,19,0.6511101126670840,0.6636585593223570,0.34888988733291600,0.3363414406776430
airplane2,飞机,直升机,天空,461,395,0.2595890760421750,0.7191481292247770,0.7404109239578250,0.2808518707752230
seagull,海鸥,蝙蝠,天空,0,30,0.811036080121994,0.7998091727495190,0.18896391987800600,0.20019082725048100
apple1,苹果,草莓,树,172,385,0.605795830488205,0.666671633720398,0.39420416951179500,0.33332836627960200
apple2,苹果,橙子,篮子,91,29,0.5982571244239810,0.6510241329669950,0.4017428755760190,0.34897586703300500
axe,斧子,剪刀,树桩,0,0,0.5947704911232000,0.6219379007816320,0.40522950887680100,0.37806209921836900
baby,宝宝,成人,奶瓶,22,64,0.7316573560237890,0.4767785668373110,0.26834264397621200,0.5232214331626890
monkey,猴,驴,丛林,45,70,0.6640335619449620,0.7973666191101070,0.33596643805503800,0.20263338088989300
bed,床,长沙发,枕头,0,864,0.609950065612793,0.5076181292533880,0.39004993438720700,0.49238187074661300
crib,婴儿床,床,宝宝,0,0,0.5686686336994170,0.4903857707977300,0.4313313663005830,0.5096142292022710
bee1,蜜蜂,瓢虫,花园,30,59,0.5333741903305050,0.7252819836139680,0.46662580966949500,0.2747180163860320
bee2,蜜蜂,蝴蝶,蜂蜜,364,277,0.48682206869125400,0.409587025642395,0.5131779313087460,0.590412974357605
beer,啤酒,果汁,派对,110,49,0.4537113904953000,0.6978378891944890,0.5462886095047000,0.3021621108055120
chicken,鸡,天鹅,蛋,30,1009,0.5703258216381070,0.5861141085624700,0.4296741783618930,0.4138858914375310
pigeon,鸽子,鸭,鸟巢,50,6,0.5072634816169740,0.5581653118133550,0.4927365183830260,0.4418346881866460
cake,蛋糕,曲奇,生日,0,2193,0.46136730909347500,0.4999900460243230,0.5386326909065250,0.5000099539756780
ball,球,骰子,儿童,0,529,0.6432503163814550,0.7891635298728940,0.35674968361854600,0.2108364701271060
boot,靴子,拖鞋,脚,12,329,0.4595995545387270,0.5600452125072480,0.5404004454612730,0.4399547874927520
legs,腿,手臂,裤子,957,369,0.46510040760040300,0.6945604979991910,0.5348995923995970,0.3054395020008090
bowl,碗,盘子,汤,116,2152,0.5519801080226900,0.5885287821292880,0.4480198919773100,0.4114712178707120
bread,面包,米饭,烤箱,89,131,0.5492838025093080,0.5295154750347140,0.45071619749069200,0.47048452496528600
spoon2,勺,叉子,汤,8,59,0.6271586716175080,0.6511810719966890,0.37284132838249200,0.34881892800331100
hair,头发,胡子,梳子,545,234,0.48786628246307400,0.5459111332893370,0.5121337175369260,0.45408886671066300
bullet,子弹,箭,手枪,11,2944,0.5459482669830320,0.3714383840560910,0.4540517330169680,0.6285616159439090
cactus,仙人掌,灌木,沙子,0,0,0.5127876698970800,0.6690663397312160,0.48721233010292100,0.33093366026878400
car2,汽车,自行车,轮胎,407,536,0.41617828607559200,0.3737559914588930,0.583821713924408,0.6262440085411070
car1,汽车,摩托车,红绿灯,259,94,0.3467057943344120,0.579657256603241,0.6532942056655880,0.42034274339675900
carrot,胡萝卜,豌豆,兔子,23,50,0.6023518741130830,0.6119877099990850,0.3976481258869170,0.3880122900009160
dog1,狗,猫,狗链,3051,0,0.42167162895202600,0.5283272564411160,0.5783283710479740,0.47167274355888400
dog2,狗,猫,骨头,3051,483,0.42167162895202600,0.6539397835731510,0.5783283710479740,0.34606021642684900
chain,链条,绳子,锁,0,13,0.5703806281089780,0.7029041647911070,0.42961937189102200,0.2970958352088930
chair,椅,凳,桌,78,1791,0.39066630601882900,0.48981183767318700,0.6093336939811710,0.5101881623268130
chalk,粉笔,马克笔,黑板,0,225,0.5337473452091220,0.46294015645980800,0.4662526547908780,0.5370598435401920
chimney,烟囱,墙,火,36,123,0.6192418932914730,0.797228217124939,0.3807581067085270,0.20277178287506100
coat,大衣,运动衫,伞,0,16,0.5650621950626370,0.7424686551094060,0.43493780493736300,0.2575313448905950
dress,连衣裙,裤子,衣架,0,0,0.39855819940567000,0.6507644951343540,0.6014418005943300,0.34923550486564600
jacket,夹克,毛衣,冬天,79,23,0.4885672926902770,0.7776768356561660,0.5114327073097230,0.22232316434383400
coconut,椰子,芒果,树,83,321,0.46231603622436500,0.6600405871868130,0.5376839637756350,0.33995941281318700
onion1,洋葱,番茄,农民,429,162,0.5527848601341250,0.7061815559864040,0.44721513986587500,0.2938184440135960
farmer,农民,屠夫,拖拉机,0,13,0.7215136587619780,0.5169988572597500,0.27848634123802200,0.48300114274025000
goat,山羊,鹿,草地,98,21,0.6432688236236570,0.6549640595912930,0.3567311763763430,0.34503594040870700
cow2,牛,鸡,草,583,923,0.6209316849708560,0.6365070044994350,0.3790683150291440,0.3634929955005650
squirrel,松鼠,老鼠,橡实,59,0,0.5056541264057160,0.5893119275569920,0.49434587359428400,0.4106880724430080
cow1,牛,猪,牛奶,1104,435,0.5188761353492740,0.6668576896190640,0.4811238646507260,0.33314231038093600
sheep,绵羊,山羊,羊毛,193,42,0.4264213442802430,0.5297803580760960,0.5735786557197570,0.4702196419239040
grass,草,叶子,马,275,493,0.6575091779232030,0.744363397359848,0.3424908220767980,0.255636602640152
crayon,蜡笔,油漆刷,图画,0,10,0.5728305578231810,0.5400915741920470,0.42716944217681900,0.4599084258079530
crown,皇冠,帽子,女王,8,26,0.6652836501598360,0.6505979299545290,0.3347163498401640,0.3494020700454710
cup,杯子,茶碟,咖啡,0,232,0.3838549256324770,0.48332154750824000,0.6161450743675230,0.5166784524917600
teacher,老师,警察,桌子,398,277,0.7587254047393800,0.7784982323646550,0.24127459526062000,0.22150176763534500
door,门,窗户,钥匙,1142,3216,0.5335611701011660,0.5758534073829650,0.46643882989883400,0.4241465926170350
house,房子,小屋,花园,102,478,0.47063368558883700,0.6893504858016970,0.5293663144111630,0.3106495141983030
piano,钢琴,长笛,歌,295,928,0.33130425214767500,0.7408851981163030,0.6686957478523250,0.2591148018836980
trumpet,小号,小提琴,管弦乐队,21,0,0.6156045198440550,0.606709748506546,0.3843954801559450,0.393290251493454
frog,青蛙,乌龟,池塘,53,163,0.5105590522289280,0.5238139629364010,0.4894409477710720,0.47618603706359900
lilypad,睡莲,玫瑰花,池塘,6,37,0.648413747549057,0.5600284934043880,0.351586252450943,0.4399715065956120
dust,灰尘,灰烬,扫帚,0,15,0.5696638226509090,0.5639189183712010,0.4303361773490910,0.43608108162879900
elephant,大象,长颈鹿,动物园,102,0,0.5188441276550290,0.6066452860832210,0.4811558723449710,0.39335471391677900
ring,戒指,项链,手,852,1352,0.37920695543289200,0.725589245557785,0.6207930445671080,0.27441075444221500
hand,手,脚,手镯,6961,57,0.6810490787029270,0.7785893678665160,0.31895092129707300,0.2214106321334840
pencil,铅笔,钢笔,橡皮,77,238,0.28740358352661100,0.47207677364349400,0.7125964164733890,0.5279232263565060
pen,钢笔,铅笔,纸,77,107,0.28740358352661100,0.5287191271781920,0.7125964164733890,0.47128087282180800
net,网,绳子,鱼,35,2116,0.7679079473018650,0.6858890950679780,0.23209205269813500,0.3141109049320220
lake,湖,溪流,鱼,172,870,0.64435213804245,0.6802930235862730,0.35564786195755000,0.3197069764137270
ocean2,海洋,溪流,船,74,2046,0.7057499885559080,0.597576379776001,0.2942500114440920,0.402423620223999
flower,花朵,灌木,花瓶,39,39,0.5724837183952330,0.5119267702102660,0.42751628160476700,0.4880732297897340
can,罐,瓶,吸管,537,24,0.3140271306037900,0.6400633454322820,0.6859728693962100,0.3599366545677190
hammer,锤子,锯子,钉子,13,32,0.5309073328971860,0.5332608819007870,0.4690926671028140,0.46673911809921300
hat,帽子,皇冠,头,8,138,0.6652836501598360,0.7632731944322590,0.3347163498401640,0.2367268055677410
helmet,头盔,便帽,摩托车,0,47,0.6009258031845090,0.485601007938385,0.3990741968154910,0.514398992061615
soccer,足球,网球,球门,136,62,0.474107027053833,0.5467402935028080,0.525892972946167,0.4532597064971920
horse,马,驴,鞍,361,64,0.5102962851524350,0.633768618106842,0.4897037148475650,0.36623138189315800
school,学校,教堂,学生,189,44510,0.6487593948841100,0.32653969526290900,0.3512406051158910,0.6734603047370910
snow,雪,冰,山峰,401,173,0.49669307470321700,0.7549884468317030,0.5033069252967830,0.24501155316829700
kitchen,厨房,卧室,冰箱,456,346,0.3925875425338750,0.5329526662826540,0.6074124574661260,0.4670473337173460
knight,骑士,士兵,盔甲,67,94,0.6691780686378480,0.5429797470569610,0.3308219313621520,0.45702025294303900
lamp,灯,手电筒,桌子,175,211,0.43937206268310500,0.7574301660060880,0.5606279373168950,0.24256983399391200
gloves,手套,短裤,滑雪,15,12,0.6430495381355290,0.5557756721973420,0.35695046186447100,0.4442243278026580
mountain,山峰,悬崖,雪,25,179,0.6578911244869230,0.7549884468317030,0.3421088755130770,0.24501155316829700
mouth,嘴,鼻,牙刷,1648,33,0.5422222018241880,0.6781909763813020,0.45777779817581200,0.3218090236186980
movie,电影,卡通片,导演,64,8603,0.6149413585662840,0.3551182150840760,0.3850586414337160,0.6448817849159240
notepad,笔记本,书本,双肩包,16,0,0.49355876445770300,0.46899038553237900,0.5064412355422970,0.5310096144676210
ocean1,海洋,河流,鲸,177,846,0.5875461399555210,0.6851040422916410,0.41245386004447900,0.31489595770835900
onion2,洋葱,胡椒,炒锅,166,5,0.6045583784580230,0.6881187260150910,0.39544162154197700,0.31188127398490900
oyster,蚌,蛤蜊,珍珠,0,35,0.652879387140274,0.6404941082000730,0.34712061285972600,0.35950589179992700
watering can,洒水壶,桶,花朵,0,0,0.67464280128479,0.5748024582862850,0.32535719871521000,0.4251975417137150
pastry,蝴蝶酥,蛋糕,烘焙师,0,0,0.8026048839092260,0.9675431735813620,0.19739511609077500,0.03245682641863820
penguin,企鹅,鹅,雪,7,17,0.5832829475402830,0.749184787273407,0.4167170524597170,0.250815212726593
policeman,警察,老师,监狱,398,88,0.7587254047393800,0.5786708891391750,0.24127459526062000,0.4213291108608250
mailman,快递员,消防员,包裹,0,0,0.5669757425785070,0.6413390338420870,0.43302425742149400,0.3586609661579130
pot1,汤锅,平底锅,长柄勺,22,0,0.518255203962326,0.8763961419463160,0.48174479603767400,0.12360385805368400
pot2,汤锅,平底锅,炉灶,22,0,0.518255203962326,0.603235274553299,0.48174479603767400,0.39676472544670100
saw,锯子,锤子,木板,13,13,0.5309073328971860,0.6494891047477720,0.4690926671028140,0.3505108952522280
sink,洗脸盆,浴缸,肥皂,30,0,0.4147182106971740,0.6679628491401670,0.5852817893028260,0.33203715085983300
spider,蜘蛛,蚱蜢,网,9,732,0.5667601227760320,0.778287947177887,0.4332398772239690,0.22171205282211300
spoon1,勺,长柄勺,碗,0,92,0.9032141044735910,0.4422560930252080,0.09678589552640920,0.5577439069747930
sword,弯刀,匕首,海盗,0,5,0.45250898599624600,0.6020698845386510,0.5474910140037540,0.3979301154613500
tent,帐篷,小木屋,篝火,0,23,0.9250312894582750,0.5340883433818820,0.07496871054172520,0.4659116566181180
towel,毛巾,手帕,浴室,43,198,0.511480450630188,0.5249659419059750,0.488519549369812,0.47503405809402500
train,火车,公交车,轨道,0,277,0.40317410230636600,0.5037025511264800,0.596825897693634,0.4962974488735200
university,大学,学校,教授,12386,21403,0.37337422370910600,0.47326457500457800,0.6266257762908940,0.5267354249954220
doctor,医生,工程师,医院,86,4223,0.5291924178600310,0.32916682958602900,0.47080758213996900,0.670833170413971
peach,桃,李子,果核,170,0,0.5796568691730500,0.7510655671358110,0.4203431308269500,0.24893443286418900